"","screenname","tweets"
"3688","ThisIsSabby","Also, re @realDonaldTrump, Reactionaries build walls.  Revolutionaries tear them down.  #election2016"
"3689","RosalindaCoron4","RT @GarzaVillanueva: @GOP Wants @realDonaldTrump  To Disappear Bfore He Costs Them The #Election2016 https://t.co/GFXAvrcWfN #USlatino  #TNTweeters #ccot #P2"
"3690","radrepubalways","RT @DickMorrisTweet: Carson Fades After Paris Bombing; Trump, Cruz Surge https://t.co/6Jnc5ksXtI #Election2016 @realDonaldTrump @tedcruz @thehill @thehilltweets"
"3691","DickMorrisTweet","Carson Fades After Paris Bombing; Trump, Cruz Surge https://t.co/6Jnc5ksXtI #Election2016 @realDonaldTrump @tedcruz @thehill @thehilltweets"
"3692","JonathanLyens","RT @FDRDems: Sad @realdonaldtrump mocks a @nytimes  journalist  w/ #disability. His true colors shining through. #election2016 https://t.co/fzMhBiLptv"
"3693","This_vsThatShow","I hear @realdonaldtrump loves #hanukkah cause it's the ""festival of whites."" #election2016"
"3694","haiku2016","Donald not impressed;
With Obama's speech last night:
""Is that all there is?""

@realDonaldTrump
@GOP 
#Election2016 
#ObamaSpeech"
"3695","SputnikNewsUS",".@realDonaldTrump enjoys 20-point lead in #Republican presidential race
https://t.co/TMBNsgSLSs
#GOP #Election2016 https://t.co/kuv0FTjFFH"
"3696","alonso_529","RT @GarzaVillanueva: @RealBenCarson se une a @realDonaldTrump en amenazar con dejar al @GOP.

#USlatino #Election2016
#votolatino2016

https://t.co/eanL4KQpVC"
"3697","NoJoeBiden","RT @RickCanton: Wow.

@realDonaldTrump is going to start watching his Muslim American friends. Because ""we need to protect our citizens.""

#Election2016"
"3698","haiku2016","Trump says he does not;
Know any U.S. Muslims;
Who are sports heroes.

@realDonaldTrump 
@GOP 
#Election2016 https://t.co/1pALkDzjFZ"
"3699","torridtext","Honestly seems like @realDonaldTrump just wants to see how crazy he has to get to kill this #Election2016 #realitytv https://t.co/kPXsfkl1qK"
"3700","TejasKat","@realDonaldTrump #Election2016 #MakeAmericaGreatAgain ..... #CantComeSoonEnough https://t.co/V6HHgxaHEZ"
"3701","tazzman22","Finding out how dangerous @realDonaldTrump is going to take a long time!  #BanTrump until #Election2016 is over #win https://t.co/EupLuvmugf"
"3702","JohnGrochalski",". @GOP if there's a way to remove @realDonaldTrump from the primary ballot...for the sake of yr nation look into it. #Election2016"
"3703","ver_wey","RT @Mach1Broker: .@realDonaldTrump is right again. #tcot #p2 #election2016  https://t.co/ejZEejvK3p"
"3704","bobbyshantheman","The more the media attacks @realDonaldTrump the more he will rise in the eyes of the #GOP electorate. #Election2016 https://t.co/pDvv0UHClg"
"3705","RealOfByFor","You can't #BanDemocracy because it is already banned by those who hate. @realDonaldTrump
#Election2016 #Trump2016 #Truth #Logic #USAelection"
"3706","dmckinney218","RT @KatrinaPierson: If @realDonaldTrump &amp; his supporters will cost the #GOP the #Election2016 THEN who's fault was it in #2008? #2012? Let's win for a change."
"3707","mario092014","RT @VeteransFP: Senator @tedcruz tops @realDonaldTrump in our latest Twitter poll! #tcot #pjnet #Election2016 #CruzCrew https://t.co/M6n4YajUrM"
"3708","AllisonW_News","@StephenAtHome says @realDonaldTrump is his former @ComedyCentral character, with money. What do you think? #election2016"
"3709","PHILL43692620","RT @LAforTRUMP: @realDonaldTrump is winning! #DonaldTrumpforPresident <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> #GOPDebate #Trump2016 #Trump #TrumpTrain #Gop #election2016 https://t.co/7uEcKnLqxp"
"3710","DEMAGOGSSUCK","Merry Christmas @realDonaldTrump &amp; cannot wait until #America celebrates #Christmas in our @WhiteHouse the proper way after #Election2016 <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>"
"3711","JohnKitzer","@realDonaldTrump @HillaryClinton Candidate who puts #AmericanCitizensFirst will win 70-30 #Election2016 #NoMore5149"
"3712","CPBacon4CO",".@realDonaldTrump @tedcruz @SenTedCruz 
Something Oddly Familiar Here
#DejaVu

#DemDebate #GOPDebate #Election2016 https://t.co/P9RVgjLsNM"
"3713","Zacman555","NEW Press Release @realDonaldTrump Will Be Next President Of  USA https://t.co/YHGxL7PtVo #trump2016 #Election2016 https://t.co/ctllvZOomr"
"3714","DFL_Girl","In #Election2016 matchup @Bernie beats @realDonaldTrump by double digits.  #FeelTheBern ! https://t.co/P39HTrAwWD"
"3715","1stAirDel_USMCR","The @TheDemocrats' Felon in the White House https://t.co/PrDUqWGOmV  #Election2016 #Elections2016 #GOP2016 @realDonaldTrump @SenTedCruz"
"3716","LoveIrreverence","#Election2016
#DonaldTrump
@jimcookeIII
@Gawker
@realDonaldTrump
@SenSanders
@HillaryClinton
#LatinoLivesMatter

. https://t.co/5eCLhRpiyy"
"3717","usvetram","RT @ShennaFoxMusic: https://t.co/fNaobY2P2r 
At present 40% of Blacks and 45% of Hispanics behind @realDonaldTrump #Trump will win #Election2016 in a landslide"
"3718","AllenTurner12","RT @LiberatedCit: #Iowa #Trump @realDonaldTrump #Election2016
The Real Donald Trump Story https://t.co/Klw6bOBqzx https://t.co/S2bgAXhvx9"
"3719","Rockbell87","#Hillary was telling the #truth! @realDonaldTrump Featured In #Terrorist Recruitment #Video https://t.co/iPYfDP17In #Election2016"
"3720","F1Knox","RT @ReutersPolitics: These are some of the few people @realDonaldTrump follows on Twitter: https://t.co/5V7sqGrB2a #Election2016 https://t.…"
"3721","GopConv2012","RT @ShennaFoxMusic: https://t.co/zs4cm1MNJn 
@realDonaldTrump 
""They'll show up in numbers the establishment won't believe"" 
#Election2016 #Yuge for #Trump2016"
"3722","eroggenburg","@realDonaldTrump is bringing up birther nonsense because @tedcruz is pulling away in IA.  Sad!  He knows it is a non-issue!  #Election2016"
"3723","JPDBailey27","@SenSanders &amp; @realDonaldTrump will need to rely on the same thing: turnout #IowaCaucus #iacaucus #Election2016 #GOP"
"3724","BigGator5","#Trump2016: The @realDonaldTrump Sends #TrumpSteaks To Mortal Foes https://t.co/27cD37UlBI @ByronYork #tcot #p2 #yuge #winning #election2016"
"3725","GasparineCho","RT @not4turning: New @WSJ poll=BS 2/3 polled not even Republican! &amp; not LIKELY voters. #Election2016 #GOPDebate @realDonaldTrump @DanScavin…"
"3726","SharNeal","RT @MaxxLeight: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https://t…"
"3727","JRParrish1","RT @MaxxLeight: WE ARE NEW REPUBLICANS 
VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain https://t.c…"
"3728","AlexanderAloi","Also, let's be real. @realDonaldTrump isn't a populist candidate. He's a fascist candidate. #Election2016"
"3729","wildcatcrazyone","RT @CivilBeat: Hawaii Republicans hand @realDonaldTrump another victory https://t.co/3nTlckBM7y #HIcaucus #Election2016 https://t.co/ubuqNE…"
"3730","HelloDesignhub","RT @AP_Politics: The Latest on #Election2016: @realDonaldTrump: Wins prove competence trumps advertising. https://t.co/qSabNlURZ6 https://t…"
"3731","ZnaTrainer","RT @11AliveNews: Reports: Ben Carson (@RealBenCarson) to back Donald Trump (@realDonaldTrump) https://t.co/I3fZohxyDm #Election2016 https:/…"
"3732","topnotch36532","GOP establishment and candidates don't know how to handle @realDonaldTrump 
#CNNDebate #GOPDebate #Election2016 https://t.co/IKPInPdJzs"
"3733","econprof_mathur",".@realDonaldTrump @BernieSanders Why #freetrade needs to work for everyone https://t.co/IMGdcjpL0E #Election2016 https://t.co/MIb5m5G18s"
"3734","PhMai","RT @SMLabTO: When is CAPS LOCK not yelling? When it is being used by @realDonaldTrump https://t.co/t9ixdCBuT9 #Election2016"
"3735","MHMorganNC","RT @eOpinionTvNews: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https…"
"3736","ASwoyer",".@RealDonaldTrump on Defining the @GOP - ‘What Difference Does It Make’ - @BreitbartNews https://t.co/teSE7HAzMJ #GOP #Election2016"
"3737","mesiaindo","RT @MaxxLeight: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https://t…"
"3738","nadianboone","RT @ReutersTV: Reporter choked at @realDonaldTrump rally #election2016 https://t.co/58rfLZ9I33"
"3739","StefanGrobe1","""I want individiual #trade deals with individual countries"", says @realDonaldTrump. #Election2016 @euronews #TTIP #TPP"
"3740","BabsProller","This means DT has schizophrenia or is lying to the world @realDonaldTrump @RealBenCarson #StopTrump #Election2016  https://t.co/laQvzYxo4m"
"3741","ca67_ttc","Great article about why @realDonaldTrump https://t.co/K5CDwJe2km #Election2016 #FLPrimary #OhioPrimary"
"3742","maxlydic","RT @rickbilyak: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain  https://t.…"
"3743","MaxxVisualMedia","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain https://t.co/kiy9HaUIqR"
"3744","Conspiraciestv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain https://t.co/ohDjCpZSIK"
"3745","eopiniontv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain https://t.co/syHnV3h4FZ"
"3746","eopiniontv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain 
 https://t.co/30mUQ8N6mD"
"3747","CeeItTV","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain  https://t.co/hpo8c5krjb"
"3748","Chatman7Donna","RT @rickbilyak: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016  #FLPrimary
 https://t.co/FdRwXNHb…"
"3749","DKinchenFOX29","""The hell with them,"" @realDonaldTrump says of a ruckus in the background while speaking in Missouri. ""Get him out"" he says. #Election2016"
"3750","MoneyGuyBK","@realDonaldTrump @GOP #GOP #Election2016 #fb https://t.co/0XnwbLih3H"
"3751","Kaieed_Daher","RT @TinaDesireeBerg: I think this speaks for itself. Stop the incitement @realDonaldTrump #DumpTrump #Election2016 #EndRacism https://t.co/…"
"3752","Clevelandpro65","RT @TinaDesireeBerg: I think this speaks for itself. Stop the incitement @realDonaldTrump #DumpTrump #Election2016 #EndRacism https://t.co/…"
"3753","krlstydarby","RT @TinaDesireeBerg: I think this speaks for itself. Stop the incitement @realDonaldTrump #DumpTrump #Election2016 #EndRacism https://t.co/…"
"3754","RamblinRay995","Storms on Election Day. Way to go @realDonaldTrump this is all your fault #Illinois #Election2016"
"3755","NewsNetNews","<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8> #Election2016 OpEd: @realDonaldTrump NC 14Mar16 Strange Format But If Meant As Broadcast Demo Tape @ChrisChristie Needs Some Major Trng<f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>"
"3756","MastPrestige","RT @ARTISTstacy: Re-Tweet this, people! @realDonaldTrump , #Election2016, #progressive, #LiberalTrump, #liberal, #politics,#Trumplies https…"
"3757","mitrimm","Who is your #MyElectionFear?

@BernieSanders @HillaryClinton 
@tedcruz @realDonaldTrump 

#Election2016 #FeelTheBern"
"3758","DickMorrisTweet","GOP: Time Out For Deal-Making https://t.co/OrYsPL9VLM #realdonaldtrump @tedcruz @JohnKasich @DRUDGE_REPORT @Newsmax_Media @GOP #Election2016"
"3759","WOODRADIO","New support and detractors for @realDonaldTrump. And is @BernieSanders out? #Election2016 https://t.co/jl6I5Hvmlm https://t.co/FkPUeHFUsm"
"3760","JohnLaprise","@tedcruz @JohnKasich fail to understand that endorsements are the kiss of death in #Election2016  @realDonaldTrump https://t.co/vMtizaN8yJ"
"3761","NathanCarte","@megynkelly is smart, tough, and fair. These are not words you can describe @realDonaldTrump with. #Election2016 #dumptrump #IStandWithMegyn"
"3762","rhodyislander","RT @MikeHudema: I gotta say this makes a lot of sense. #Election2016  @realDonaldTrump @HillaryClinton @BernieSanders #Batman https://t.co/…"
"3763","Ethan129","@realDonaldTrump @megynkelly How much support would #Trump have if #uneducated #White #Trash was excluded? Reason has 0 chance #Election2016"
"3764","Conspiraciestv","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain https://t.co/BmA6csJnuf"
"3765","kkatblonde","RT @eSeniorClub: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016  #FLPrimary
 https://t.co/9472fMT…"
"3766","Segregation_USA","RT @FergSays: No more #Election2016 debates or town halls are necessary

Just put @HillaryClinton in Leavenworth &amp; @realDonaldTrump in 1600…"
"3767","solomon_ann","RT @MaxxLeight: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain  https://t.…"
"3768","VeteransNewsOrg","WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016 #MakeAmericaGreatAgain  https://t.co/VyOIsohtQl"
"3769","YoussoufSanogo9","#USA: @marcorubio, Kasich unsure they could vote @realDonaldTrump #Election2016"
"3770","TruthCopy","The media and the public are being played masterfully by @realDonaldTrump. How does this keep happening? #Election2016"
"3771","bourbonroad","RT @TinaDesireeBerg: I think this speaks for itself. Stop the incitement @realDonaldTrump #DumpTrump #Election2016 #EndRacism https://t.co/…"
"3772","ElijahElkins","Who would be the best candidate for a third party run against 
@realDonaldTrump and @HillaryClinton? #Election2016"
"3773","all_dahl","@realDonaldTrump I own the domain name https://t.co/MQjFtk1dXs. Interested? DM me for info. #Election2016 #marketing #SEO"
"3774","AllisonW_News","Shocked @marcorubio suspended his campaign. Thought everyone would stay in, collect delegates away from @realDonaldTrump. #Election2016"
"3775","PracticallyGOP","#Kasich takes Ohio. What's next? https://t.co/UycvvdIr7e @johnkasich #republicans #GOP #election2016 @realdonaldtrump #politics #POTUS"
"3776","CherylBozarth","RT @MikeHudema: I gotta say this makes a lot of sense. #Election2016  @realDonaldTrump @HillaryClinton @BernieSanders #Batman https://t.co/…"
"3777","WhitCrowley","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"3778","borgeron1","RT @foxnation: Poll: @SenTedCruz Takes HUGE Lead In Utah, @realDonaldTrump Dead Last https://t.co/9q0Fa92UIP #Election2016"
"3779","johnbasham","RT @foxnation: Poll: @SenTedCruz Takes HUGE Lead In Utah, @realDonaldTrump Dead Last https://t.co/9q0Fa92UIP #Election2016"
"3780","saltine_cummies","i am disgusted with politics of today.....@realDonaldTrump has refused to answer on what he thinks of anime tiddies... #Election2016"
"3781","JamChrisJoy","RT @UntitledQuest: I scored 23 playing Floppy Candidate! #Floppy2016 #Election2016 #MakeAmericaGreatAgain @realDonaldTrump https://t.co/ubO…"
"3782","DonnaWR8","#AlwaysTRUMP #TrumpVotersMatter #TrumpWomen #Election2016 #VoteTrump @realDonaldTrump #truth #DonaldTrump #Trump  https://t.co/YD2RcppBAu"
"3783","simonpatt",".@ScottBaio &amp; @realDonaldTrump

One has a long, ugly history of racism &amp; misogyny... and the other is #DonaldTrump.
#ScottBaio
#Election2016"
"3784","YoussoufSanogo9","Republican Leaders Map a Strategy to Derail @realDonaldTrump https://t.co/IDoU7dkS4h HOW? #Election2016 #USA"
"3785","jennyfrky","RT @MikeHudema: I gotta say this makes a lot of sense. #Election2016  @realDonaldTrump @HillaryClinton @BernieSanders #Batman https://t.co/…"
"3786","tdh052883","@KarlRove Is Incapable Of Unbias Analysis Of @realDonaldTrump. His Opinions Have Gotten Borderline Delusional. #foxnews #Election2016"
"3787","ModerateBliss","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"3788","atticuskmc","RT @kupajo322: <U+2606> WE MUST STAY #UNITED <U+2606>»#TrumpTrain <U+2606>
<U+2606> EVEN AFTER <U+2606>»@realDonaldTrump <U+2606> WINS #Election2016 »HE STILL NEEDS SUPPORT! https:/…"
"3789","mrsmcmo","RT @foxnation: Poll: @SenTedCruz Takes HUGE Lead In Utah, @realDonaldTrump Dead Last https://t.co/9q0Fa92UIP #Election2016"
"3790","vlva_leblonde","RT @mikekimelman: #talkshitgethit - The unofficial policy at @realDonaldTrump campaign events. #Election2016"
"3791","MizzouPatriot","Have you noticed that @realDonaldTrump &amp; Trumpsters seem obsessed w/ penises?  Just sayin'.  #Election2016 #ChooseCruz  I like @tedcruz"
"3792","Missy_Kidd","RT @kupajo322: <U+2606> WE MUST STAY #UNITED <U+2606>»#TrumpTrain <U+2606>
<U+2606> EVEN AFTER <U+2606>»@realDonaldTrump <U+2606> WINS #Election2016 »HE STILL NEEDS SUPPORT! https:/…"
"3793","usapatriot1781","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"3794","puppinup","@realDonaldTrump @instapundit @nytimes One might surmise that the Trump campaign for POTUS @HillaryClinton is a ""hell hole"" #Election2016"
"3795","georgiagem","RT @RickCanton: TAKE THE PLEDGE!

Tell the @GOP - @realDonaldTrump won't get your vote. No matter what.

#NeverTrump #Election2016 https://…"
"3796","wallen48","@thehill Hasnt @realDonaldTrump been saying this from the start of his campaign? Come on guys. #WakeUpAmerica #Election2016"
"3797","_BillCurtis","Our precinct results: @tedcruz 101votes; @JohnKasich 34 votes; @realDonaldTrump 16 votes #UtahCaucus #Cruz2016 #CNNElection #Election2016"
"3798","isbell20digi","RT @foxnation: The Republican Party's Wrecked, Whether or Not @realDonaldTrump ...  https://t.co/Ku3h6ISip6 #Election2016"
"3799","DonnaWR8","@realDonaldTrump @EricTrump @DanScavino 
#Trump #DonaldTrump #truth #Trump2016 #TrumpTrain #VoteTrump #Election2016 https://t.co/KrzG5DFXzV"
"3800","emkhansen","@realDonaldTrump just wondering how your background in reality TV will help you make decisions about #international relations? #Election2016"
"3801","Liberty4480","A group tired of power of rich is funded &amp; organized by @MoveOn &amp; @georgesoros #DemocracySpring #tcot #p2p16 #Election2016 @realDonaldTrump"
"3802","campaignsinabox","friday campaign links: will @realDonaldTrump affect your down-ballot race? https://t.co/rv5Wdcnwuf #election2016 1/ https://t.co/UaZMcMms0v"
"3803","jd_coz","RT @KatrinaPierson: If @realDonaldTrump &amp; his supporters will cost the #GOP the #Election2016 THEN who's fault was it in #2008? #2012? Let's win for a change."
"3804","tweetybird2009","Found a new channel, new #hero @loudobbsnews . #LouDobbs gets it. This #Election2016 is about #WeThePeople @realDonaldTrump #WakeUpAmerica"
"3805","USANewsAgency","@realDonaldTrump  What does it REALLY mean? https://t.co/AWRpEfWsjW
Presidential?
#Trump2016 #nhpolitics #fitn #Election2016 #TedCruz"
"3806","IrishDadSPD","RT @drmario78: @realDonaldTrump who r u #voting for in #Election2016 #FU2016 #FrankUnderwoodforpresident"
"3807","JennyQTa9",".@realDonaldTrump once wrote @HillaryClinton would be 'great president.' @billclinton @LA_Hagen #election2016 #POTUS https://t.co/D3al8gODkg"
"3808","aspiesmom","RT @RWDSCommander: •Rt this
•Follow me
•Follow everyone who rts 
•Gain followers
•follow @realDonaldTrump 
#WeAreAllTrump
#Trump2016 
#TrumpTrain
#Election2016"
"3809","BozekElaine","RT @ShennaFoxMusic: https://t.co/fNaobY2P2r 
At present 40% of Blacks and 45% of Hispanics behind @realDonaldTrump #Trump will win #Election2016 in a landslide"
"3810","robbipl","RT @ShennaFoxMusic: https://t.co/fNaobY2P2r 
At present 40% of Blacks and 45% of Hispanics behind @realDonaldTrump #Trump will win #Election2016 in a landslide"
"3811","LarryBridges8","RT @Chad_Schiel: ""Wait for me honey!""  #MakeAmericaGreatAgain #Trump2016 @HillaryClinton @realDonaldTrump #Election2016 https://t.co/24dVKGx8DV"
"3812","dermotdorgan","How is @realDonaldTrump getting all the press?? Vote @VerminSupreme !! #Election2016 
https://t.co/Q39zSViNSi"
"3813","ChrisLDavis82","""Give me Trump or give me death.""  signed, Joe the Plumber, Joe Sixpack, and Joe Kool. @realDonaldTrump #election2016"
"3814","Unella_Bot",".@realDonaldtrump #Shame #election2016 #trump https://t.co/UjVhnjNGSh"
"3815","GAngeliMousears","@FoxNews @realDonaldTrump @tedcruz @marcorubio #Election2016 #MarcoRubioForPresident!! #RT"
"3816","genaro_inc","#Election2016 @tedcruz @realDonaldTrump @marcorubio did this only apply when going into unnecessary wars? https://t.co/lhXSdfv1wy"
"3817","FelixHemsley","You really are a vile human being, @realDonaldTrump. You are a cancer, not a cure! https://t.co/Prx3yc0EId #Election2016 #StayAcrossThePond"
"3818","binaryhawk","@realDonaldTrump #election2016 -  #voters, #cnn, #msnbc, et.al. are idiots to go for #Trump's: ""I really like..."" BS! Who gives a ""F...""?!"
"3819","shit_sponge","@realDonaldTrump is a pussy @cowboy_up55 gets pussy #Election2016"
"3820","anicalis","RT @OpposingViews: #VicePresident @JoeBiden: @realDonaldTrump #Presidency Is 'Possible'--&gt; @VP #politics #election2016 https://t.co/j2Pnq9Z…"
"3821","ASwoyer",".@TedCruz On #DemDebate - Which Team Would @RealDonaldTrump Play For? https://t.co/aTCImMXWIH @BreitbartNews #GOP #Election2016 #DonaldTrump"
"3822","Walt_Handelsman","Only @Ted Cruz could make The @realDonaldTrump look good! #Election2016 #debate @GOP https://t.co/HdtieI8GfG"
"3823","LaurenceNardon","#Election2016 : @realDonaldTrump redonne une voix aux petits blancs trahis par l'establishment et les financeurs GOP https://t.co/Ge2SEOEtfc"
"3824","Upcyclecreation","Aren't you surprise we don't know who are @realDonaldTrump advisors #DonaldTrump #Election2016 #GOP #GOP2016"
"3825","jjadamba","#SNL will have a tough time competing with @SarahPalinUSA @realDonaldTrump combo. Unscripted improvisational comedic genius! #Election2016"
"3826","NetworksManager",".@realDonaldTrump @williebosshog endorsement  It's YUGE!! 
#DC #millennials #generationX #Americans support #Trump2016 #election2016 #NYC"
"3827","kirbykegel","@jaketapper This comment is CRAZY! Even 4 @realDonaldTrump FRIGHTENING! Shows his OVER THE TOP confidence is getting 2 him?<f0><U+009F><U+0098><U+00B3><f0><U+009F><U+0098><U+00AB> #Election2016"
"3828","MaxCUA","RT @larryelder: Sarah Palin endorses @realDonaldTrump--just in time for the Iowa caucus. (VIDEO)
https://t.co/ieEtEYAnn5 
#Election2016"
"3829","BigGator5","#Trump2016: How #RightToRise Helped @realDonaldTrump More Than Anything https://t.co/msabHnyvyj @stephenfhayes #tcot #p2 #election2016"
"3830","steevzstubs","@gar429boss @megynkelly @FOXTV Also if he loses Iowa...@realDonaldTrump will have an excuse. He is a pussy! #Election2016"
"3831","gettinviggy","@larry_kudlow on the #DonaldTrump bashing: ""I'm not with them on this one."" @realDonaldTrump #Election2016 #ctpolitics"
"3832","danlevyesq","I'm calling it now, @realDonaldTrump is coming in 3rd in Iowa, behind Cruz and Rubio. #IowaCaucus #Election2016"
"3833","JimAloisi","Is @realDonaldTrump proving that debates are all about ratings rather than substance? #Election2016"
"3834","foxnation",". @greggutfeld : How @realDonaldTrump Can Erase Conservative Unease https://t.co/LIuhgFFVqd #Election2016"
"3835","PPDNews","LIVE Stream: Donald Trump Rally in Lexington, SC - https://t.co/xUyLYvWy08 #Election2016 @realDonaldTrump"
"3836","BountyConsult","Interesting political landscape when the same person is undecided between @BernieSanders and @realDonaldTrump. #Election2016"
"3837","StreamTheShow","Do you miss @realdonaldtrump already? #GOPDebate #Election2016"
"3838","ajstravs","USA needs this speech now https://t.co/Fg4Ju7k7Ag #calmdown #Election2016 #GOP2016 #DemocraticDebate @realDonaldTrump @tedcruz @SenSanders"
"3839","ErnestFreewill","@realDonaldTrump @CNN @FoxNews @Reince #Election2016 #GOP #USA #DNC #DumpTrump #youmightbeatrumpsupporterif https://t.co/t0WTEtalOt"
"3840","ADJGrpLaw","RT @DavidLat This is a YUGE setback for @realDonaldTrump. #IowaCaucus #election2016 https://t.co/6td2sBiasd
 #law"
"3841","PunamMunib","RT @narlak: ICYMI #US #Election2016 update: @RealDonaldTrump leads; @HillaryClinton, @BernieSanders neck-and-neck in #Iowa https://t.co/MN9…"
"3842","kattharris94","RT @tyler_steeIman: T-minus 5 minutes until @realDonaldTrump joins us in Cedar Rapids, Iowa. #trump #app2iowa #election2016 #iowacaucus htt…"
"3843","Kat4Obama","RT @jonsoltz: @realDonaldTrump has forgotten armor piercing IEDs sent OUR troops on a ""little ride"" to their graves! #Election2016 #IowaCau…"
"3844","InvadingMars","Fuck the following people: <f0><U+009F><U+0091><U+0087><f0><U+009F><U+008F><U+00BD><f0><U+009F><U+0091><U+0087><f0><U+009F><U+008F><U+00BD><f0><U+009F><U+0091><U+0087><f0><U+009F><U+008F><U+00BD>@realDonaldTrump @marcorubio @tedcruz #Election2016"
"3845","ScotsFyre","RT @RickCanton: There really is a @realDonaldTrump tweet for every occasion.

#iacaucus #nhpolitics #Election2016 #tcot #PJNET https://t.co…"
"3846","upayr","RT @ballotpedia: Learn about Our Principles PAC, an anti- @realDonaldTrump super PAC: https://t.co/i1PCC4jx12 #Election2016"
"3847","MichaelJerome82","@realDonaldTrump , where has @SarahPalinUSA been?
  #GOP #Election2016 #NHPrimary"
"3848","FWD2016","Here's what @realDonaldTrump has been saying on #immigration: https://t.co/4tw2qOn1xP #Election2016 #NHPrimary https://t.co/XwhiLfBGy1"
"3849","DogisLove100","BAHAHAHAHA! #CNN @realDonaldTrump @brianstelter #election2016 #newhampshireprimary #NewHampshire https://t.co/prw2zAErpX"
"3850","MalyndaNyc","RT @PatriotCorner: General Election Poll. Who wins? @realDonaldTrump @BernieSanders #Election2016 #NHPrimary"
"3851","HlMYM_Lessons","RT @TinaDesireeBerg: I think this speaks for itself. Stop the incitement @realDonaldTrump #DumpTrump #Election2016 #EndRacism https://t.co/…"
"3852","RealAlexJones",".@realDonaldTrump vs The Mainstream Media - Will the establishment topple Trump? https://t.co/RpFEfuwYtN #ELECTION2016"
"3853","SierraDelFuego","@RealBenCarson you lost all credibility when you endorsed @realDonaldTrump  #ChooseCruz #Election2016 #sellout"
"3854","jakekennedy25","Comparison of two candidates @BernieSanders @realDonaldTrump #Election2016 #rnc2016 #dnc2016 https://t.co/N9JFQv4P0A"
"3855","Arborsierra77","RT @eOpinionTvNews: WE ARE NEW REPUBLICANS
 VOTE TRUMP
#Election2016 @realDonaldTrump #TrumpTrain #Trump2016  #FLPrimary
 https://t.co/diAf…"
"3856","HlMYM_Lessons","RT @TinaDesireeBerg: I think this speaks for itself. Stop the incitement @realDonaldTrump #DumpTrump #Election2016 #EndRacism https://t.co/…"
"3857","couriermail","Why @realDonaldTrump is nearly impossible to catch https://t.co/sTDtObAGCg #primaries #Election2016 https://t.co/G8J5i9xwWU"
"3858","MarlenaCNN","RT @Sattiewhite: #CNN projects @realDonaldTrump wins Illinois Republican Primary.  #BreakingNews #Election2016 #RaceToTheWhiteHouse"
"3859","pat_galloway1","RT @zdaniel: And Adam Scott just had a long mention in @realDonaldTrump victory speech #Election2016  https://t.co/kSwoILTQm5"
